Stratigraphic Name,Stratno,Previous Name,Previous Name Stratno,Rank, Status ,Parent Name,Parent Stratno, Chemical Parent Name , Chemical Parent Stratno ,Top Minimum Age Name, Top Minimum Age (Ma) , Top Minimum Age Error (Ma), Top Minimum Age Method ,Base Maximum Age Name, Base Maximum Age (Ma) , Base Maximum Age Error (Ma) , Base Maximum Age Method , Minimum Thickness (m) , Maximum Thickness (m) , Type Section State , First ref as on form , Def ref as on form , Reserved by , Resdate , Approved by , Approved date ,General Comments , Lithology Description ,Primary Lithology Group, Secondary Lithology Group , Tectonic Setting , Intrusive , Granite Type
Armanda intrusion,31793,,,"Formation, beds",Informal,,,McIntosh Suite,78624,Paleoproterozoic,,,,Paleoproterozoic,,,,,,,43854,,,,,,"Use of the term ""Intrusion"" in stratigraphic names is discouraged. Use of the stratigraphic term ""Intrusion"" is to remain in use in the Pilbara region only (per Conveners' agreement, AESC Perth 2008).","Layered mafic-ultramafic intrusion; gabbro, leucogabbro, leucogabbronorite, gabbronorite, anorthosite, minor troctolite; some olivine and/or chromitite-bearing; in rhythmic cycles; peridotite and troctolite",igneous mafic intrusive,igneous ultramafic intrusive,,Y,
Arranoo Member,21152,Arranoo Sandstone Member,630,"Member, phase",Formal,Kockatea Shale,9696,,,Olenekian,,,,Induan,,,,,,,43495,,G.McGann,22-Sep-81,,,"Published as Arranoo Sandstone Member in 1988, but both names in use since. Gorter, Nicoll et al. (in prep Mar2009) formally propose to return to original unit name reserved and used in unpublished well completion reports - Arranoo Member. See also misspelt Aranoo Sandstone Member (2013) for age refinement.","A finely-laminated sequence of interbedded fine-grained sandstone, siltstone and shale.",sedimentary siliciclastic,,,N,
Arrino Siltstone,25765,,,"Formation, beds",Formal,,,,,Proterozoic,,,,Proterozoic,,,,,,WA,36872,36293,,,,,,,,,,N,
Arrowhead Shale,636,,,"Formation, beds",Formal,,,,,,,,,,,,,,,,41622,,,,,,,,,,,N,
Arrowsmith Sandstone,638,,,"Formation, beds",Formal,,,,,Proterozoic,,,,Proterozoic,,,,,,WA,36872,36293,,,,,,,,,,N,
Ascot Formation,693,Ascot beds,694,"Formation, beds",Formal,,,,,Early Pleistocene,,,,Late Pliocene,,,,,30,,41751,,,,,,"See also Ascot beds, Ascot Beds. The informal Jandakot Beds were incorporated into the Ascot Formation by Kendrick et al. (1991).","Marine deposits comprising shelly calcarenites, silty clay and glauconitic clay. Contains abundant molluscan fauna.",sedimentary carbonate,sedimentary siliciclastic,,N,
Ashbrook Sandstone,34563,Ashbrook,21161,"Formation, beds",Formal,Sue Group,34554,,,Kungurian,,,,Artinskian,,,,,262,,22820,22820,,,,,"Vasse River Coalfields, Perth Basin. See also Ashbrook Coal Measures.",Numerous upward-fining cycles dominated by sandstone.,sedimentary siliciclastic,,,N,
Ashburton Formation,698,Ashburton Beds,696,"Formation, beds",Formal,Wyloo Group,20715,,,Statherian,1806,9,"isotopic, U/Pb-Pb/Pb ion probe",Orosirian,1829,5,"isotopic, U/Pb-Pb/Pb ion probe",5000,12000,WA,44729,44692,,,,,"Defined 1964. (Evans et al 2003; Sircombe 2003). Contains SHRIMP Pb-Pb dated volcanic rocks of 1806 +/- 9 (Nelson, 2003) and 1829 +/- 5 (Sircombe, 2003). Overlain by Capricorn Group dated at 1804 +/- 7. Overlies the June Hill Volcanics in Duck Creek Syncline, but  Ashburton Formation appears to be diachronous and is believed to be older than the volcanics in other areas. Ashburton Basin.","Mudstone, siltstone and thin- to very thick-bedded lithic-quartz sandstone; minor pebble- to cobble-conglomerate, felsic to mafic volcanic rocks, BIF and dolostone. Lower greenschist facies.",sedimentary siliciclastic,sedimentary carbonate,,N,
Ashburton Formation - metabasalt,74340,,,"Member, phase",Informal,Ashburton Formation,698,,,Paleoproterozoic,,,,Paleoproterozoic,,,,,,,,,,,,,,Metabasaltic pillow lava and pillow breccia,igneous mafic volcanic,igneous volcanic,,N,
Ashmore Volcanics,718,Ashmore Volcanic Beds,717,"Formation, beds",Formal,Troughton Group,18608,,,Bathonian,166,,,Hettangian,201,,,,,WA,34363,,,,,,,Altered basalt flows and claystone.,,,,N,
Asterias Member,723,,,"Member, phase",Formal,Echuca Shoals Formation,5943,,,,,,,,,,,,,,42053,,,,,,Of Echuca Shoals Formation [GA Browse Basin Biozonation and Stratigraphy Chart 2016],Medium-grained sandstone.,sedimentary siliciclastic,,,N,
Athena Basalt,77087,,,"Formation, beds",Reserved,Black Flag Group,28372,,,,,,,,,,,,,,,,"Hall, C.(GSWA)",3-Aug-12,,,"Extrusive metabasalt found on the lowermost parts of the Black Flag Group, in the St Ives Goldfields mining camp. To be published in Electonic and digital 100K East Yilgarn 2013 update, Geological Survey of Western Australia, Department of Mines and Petroleum.",,,,,N,
Athol Formation,735,Athol formation,736,"Formation, beds",Formal,,,,,Callovian,165,,,Pliensbachian,190,,,,,WA,41732,42615,,,,,"Unit shows different age ranges in different areas. Greatest range in nothern Exmouth and Barrow Sub-basins; limited range in Dampier Sub-basin and Kangaroo Trough. Ages, relations, lithology updated from GA Timescales Project Feb 2009.",Deep marine claystones and shales.,argillaceous detrital sediment,,,N,
Atley Igneous Complex,74823,,,"Group, Suite",Formal,,,Meeline Suite,74822,Neoarchean,2780,,,Neoarchean,2810,,,3000,5000,,44149,,"Van Kranendonk, M. (GSWA)",17-Sep-08,,,Geological province: Murchison Domain. Age: 2780Ma.,"Tremolite schist derived from intrusive rock; gabbro with well-developed modal layering; magnetitite units interlayered with gabbro; layered gabbro, serpentinite derived from peridotitic igneous layers. Metamorphosed.",meta-igneous mafic intrusive,,,Y,
"Atley Igneous Complex, middle zone",80991,Atley Igneous Complex,74823,"Formation, beds",Informal,Atley Igneous Complex,74823,,,Mesoarchean,,,,Mesoarchean,,,,,,,72034,,,,,,,Gabbro with well developed modal layering of pyroxene and plagioclase; locally grading into leucogabbro and magnetite-bearing gabbro; metamorphosed. Serpentinite derived from peridotitic igneous layers; locally grades into metapyroxenite.,igneous mafic intrusive,igneous ultramafic intrusive,,Y,
"Atley Igneous Complex, upper zone",80992,,,"Formation, beds",Informal,Atley Igneous Complex,74823,,,Mesoarchean,,,,Mesoarchean,,,,,,,72034,,,,,,,"Magnetitite units interlayered with magnetite- and ilmenite-bearing leucogabbro; modally layered on a metre scale; metamorphosed. Gabbro grading into magnetite- and ilmenite-bearing olivine gabbro, leucogabbro and gabbronorite; metamorphosed.",igneous mafic intrusive,,,Y,
Attlee Jaspilite Member,744,,,"Member, phase",Formal,Noganyer Formation,14203,,,Archean,,,,Archean,,,,,,,30562,,,,,,Age from,,,,,N,
Augusta Anorthosite Complex,762,,,"Group, Suite",Formal,Leeuwin Complex,10296,,,Mesoproterozoic,,,,Mesoproterozoic,,,,,,,42069,,,,,,,"Garnet-bearing hornblende-plagioclase gneiss, garnet anorthosite, layered anorthosite, leucogabbro and gabbro (metamorphosed to amphibolite), and mottled anorthosite",meta-igneous mafic,igneous mafic intrusive,,Y,
Austin Downs Supersuite,74824,,,Supergroup,Formal,,,,,Neoarchean,2694,,,Neoarchean,2735,,,,,,64891,,"Van Kranendonk, M. (GSWA)",17-Sep-08,,,Geological province: Murchison Domain.,"Monzogranite, layered gabbro sills, and dolerite; commonly foliated; metamorphosed.",meta-igneous felsic intrusive,meta-igneous mafic intrusive,,Y,
Austin Formation,772,Austin Greywacke,32752,"Formation, beds",Formal,Lyons Group,28702,,,Sakmarian,,,,Asselian,,,,,,WA,44344,45016,,,,,Defn on Tech File G/50-1. See also Austin Member.,,,,,N,
Australind Formation,23346,Australind formation,786,"Formation, beds",Formal,Kwinana Group,25141,,,Middle Pleistocene,,,,Middle Pleistocene,,,,,3,WA,40367,40367,"Semeniuk, V.",21-Mar-79,,,Originally reserved 25-DEC-74?,"Four sediment types including brown/orange and grey calcareous mud, brown or grey shelly calcareous mud, brown to cream calcareous sands and lithoclast (carbonate rock fragment) gravel.",,,,N,
Auvergne Group,787,Yambarra Beds,20790,"Group, Suite",Formal,,,,,Neoproterozoic,635,,"inferred, geological correlation",Mesoproterozoic,1332,22,"isotopic, U/Pb-Pb/Pb ion probe",950,1900,NT,32310,48938,,,,,"Most references give age as Neoproterozoic, but a few say Mesoproterozoic (as per unconformably underlying Tijunna Group). Victoria Basin.","Sandstone, siltstone, dolostone, conglomerate, dolarenite, shale.",sedimentary siliciclastic,,,N,
BB1,39033,,,"Formation, beds",Sequence stratigraphy,,,,,Grandispora spiculifera,,,,Givetian,,,,0,2500,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
BB2,39034,,,"Formation, beds",Sequence stratigraphy,,,,,STAGE 5,,,,Spelaeotriletes ybertii,,,,,943,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
BB3,39036,,,"Formation, beds",Sequence stratigraphy,,,,,Kraeuselisporites saeptatus,,,,Protohaploxypinus microcorpus,,,,0,130,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
BB4,39038,,,"Formation, beds",Sequence stratigraphy,,,,,Samaropollenites quadrifidus,,,,Kraeuselisporites saeptatus,,,,0,525,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
BB5,39040,,,"Formation, beds",Sequence stratigraphy,,,,,Ashmoripollis reducta,,,,Samaropollenites quadrifidus,,,,0,375,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
BB6,39041,,,"Formation, beds",Sequence stratigraphy,,,,,Callialasporites turbatus,,,,Corollina torosa,,,,0,712,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
BB7,39042,,,"Formation, beds",Sequence stratigraphy,,,,,Contignisporites cooksoniae,,,,Callialasporites turbatus,,,,0,394,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
BB8a,39043,,,"Formation, beds",Sequence stratigraphy,,,,,Wanaea spectabilis 6cii-iii Subzone,,,,Rigaudella aemula 7ai-aii,,,,0,362,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
BB8b,39044,,,"Formation, beds",Sequence stratigraphy,,,,,Omatia montgomeryi 5ci-iii,,,,Dingodinium swanense 6a,,,,0,38,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
BB8c,39045,,,"Formation, beds",Sequence stratigraphy,,,,,Pseudoceratium iehiense 4ci-ii,,,,Pseudoceratium iehiense 4ci-iii,,,,0,402,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
BB9,39046,,,"Formation, beds",Sequence stratigraphy,,,,,Egmontodinium torynum 4ai-4aii,,,,Pseudoceratium iehiense 4ci-iii,,,,0,315,,26357,,,,,,"Reference: GA REF OREFID = *26357, REFID = 14142 AGSO Record 1997/38.  NOT RefID 26357, which is about onshore drilling near Batchelor , NT.",,,,,N,
Babrongan Formation,837,Babrongan beds,28241,"Formation, beds",Formal,,,,,Late Devonian,,,,Late Devonian,,,,,300,WA,40992,,,,,,,"Shale, siltstone, partly calcareous; minor limestone and dolomite.",sedimentary siliciclastic,sedimentary carbonate,,N,
Backdoor Formation,24679,Fords Creek Shale,6804,"Formation, beds",Formal,Collier Group,34907,,,Stenian,1070,,"inferred, intrusive relationship",Ectasian,1400,,"isotopic, U/Pb",1500,1740,WA,29916,24183,,,,,"Within the Bangemall Supergroup. Collier Basin. Three un-named sub-units are mapped separately: thin- to thick-bedded sandstone and siltstone; thin- to thick-bedded sandstone and minor siltstone; thin- to thick-bedded dololutite, dolarenite, dolorudite, dolomitic siltstone, siltstone and sandstone. 150m thick.","Planar-laminated green, maroon and cream-coloured siltstone and mudstone, interbedded with subordinate fine- to very coarse-grained lithic sandstone, dolostone and minor thin chert beds; intruded by dolerite sills.",argillaceous detrital sediment,sedimentary carbonate,,N,
Backdoor Formation - dolomite,74343,,,"Member, phase",Informal,Backdoor Formation,24679,,,Stenian,,,,Ectasian,,,,,,,,,,,,,,Dolomite and chert breccia,sedimentary carbonate,,,N,
Badgeradda Group,863,Badgeradda Beds,32753,"Group, Suite",Formal,,,,,Neoproterozoic,800,,,Mesoproterozoic,,,,1700,3000,WA,48823,45015,,,,,See also Lexicon.,"Comprises folded sandstone, shale and conglomerate.",sedimentary siliciclastic,,,N,
Baghdad Member,23351,,,"Member, phase",Formal,,,,,,,,,,,,,,,,41831,,A.E.Cockbain,7-Jan-88,,,,,,,,N,
Baines beds,75570,Baines Beds,887,"Formation, beds",Informal,,,,,Mesoproterozoic,,,,Mesoproterozoic,,,,,1000,WA,65074,,,,,,"Defined on card, 5-OCT-73 as Baines Beds. Described in GSWA Memoir 3 (1990) , NW Birrindudu Basin,  p351, 352, 355. May be lateral equivalent of Birrindudu Group. Mesoproterozoic.","Shallow marine medium to thinly bedded, rippled and cross bedded sublithic sandstone and quartz sandstone with a sparse clayey matrix; minor lithic sandstone, greywacke, conglomerate and siltstone, with mudstone at the top",sedimentary siliciclastic,feldspar- or lithic-rich arenite to rudite,,N,
Baker Formation,911,,,"Formation, beds",Formal,Byro Group,3230,,,Kungurian,,,,Artinskian,,,,,90,WA,44537,45016,,,,,See also Lexicon. Type area in SG50-14[?or SG50-01?  - in the Kennedy Range]. Of the Minyala Sub-Group (Byro Group).,Siltstone and black shale; minor interbedded fine-grained sandstone.,argillaceous detrital sediment,feldspar- or lithic-rich arenite to rudite,,N,
Bald Hill Granodiorite,943,,,"Formation, beds",Informal,,,,,,,,,,,,,,,,40667,,,,,,Possibly not intended as a formal name? Appears to be unpublished elsewhere.,,,,,Y,
Bald Rock Supersuite,74836,,,Supergroup,Formal,,,,,Neoarchean,2592,,,Neoarchean,2647,,,,,,64891,,"Van Kranendonk, M. (GSWA)",17-Sep-08,,,Geological province: Murchison Domain.  Age: c. 2630-2620Ma.,"Undeformed monzogranite, syenogranite, and alkali granite; post-tectonic.",igneous felsic-intermediate intrusive,,,Y,
Baldwin Formation (WA),950,Baldwin formation,952,"Formation, beds",Informal,,,,,,,,,,,,,,,,32377,,,,,,,,,,,N,
Baleine Formation,24169,,,"Formation, beds",Formal,,,,,Berriasian,,,,Tithonian,,,,,1000,WA,45153,45153,V.Passmore,2-Oct-75,WA SNSC,14-Sep-79,,"Chiefly claystone, grey, silty to arenaceous, common traces of glauconite as high as 10% and traces of mica and pyrite.  Towards the east the upper part is interbedded sandstone and siltstone.",sedimentary siliciclastic,,,N,
Balfour Formation,25772,Balfour Shale,955,"Formation, beds",Formal,Manganese Group,11171,,,Mesoproterozoic,,,,Mesoproterozoic,,,,,,WA,43056,41669,,,,,,"Pale grey to green-grey manganiferous shale, fine-grained micaceous, calcareous, and glauconitic sandstone, interbedded red-brown shale, micaceous siltstone",argillaceous detrital sediment,sedimentary siliciclastic,,N,
Balgara Dolerite,79384,,,"Formation, beds",Reserved,,,,,,,,,,,,,,,,,,"Martin, D. (GSWA)",10-Mar-16,,,"Map Sheet SF50-15 Turee Creek, 2551 Snowy Mount 1:100k.  Nearest Town: Paraburdoo. The Balgara Dolerite refers to a suite of c. 2.2Ga dolerite sills that were intruded into the Turee Creek and Shingle Creek Groups, and are petrogenetically related to the Cheela Springs basalt. Balgara Well is located about 4km NNE of one of the localities where these sills were first dated in the Turee Creek Syncline.  A full formal description will soon be published in ENS, and it is intended to publish a full definition in a GSWA Record or external publication.",Dolerite sills.,igneous mafic intrusive,,,N,
Bali Monzogranite,24684,,,"Formation, beds",Formal,,,,,Neoarchean,,,,Neoarchean,,,,,,,42697,,,,,,,"Coarse-grained monzogranite with K-feldspar megacrysts; internally massive, intense contact-parallel foliation with down-dip mineral lineation.; High Ca granite.",igneous felsic intrusive,,,Y,
Balingup Complex,29756,Balingup,21179,"Group, Suite",Formal,,,,,Archean,,,,Archean,,,,,,,43189,,,,,,"Reserved as Balingup, but NLR in 1981.",,,,,N,
Ballarat Conglomerate,35671,,,"Formation, beds",Formal,,,,,Archean,,,,Archean,,,,,,,23142,,,,,,,Feldspar+/-quartz-phyric dacite content.,,,,N,
Ballinooka inlier,33908,,,"Formation, beds",Informal,,,,,Archean,,,,Archean,2900,,,,,,22449,,,,,,Province not stratigraphic name.,,,,,N,
Ballona Dolerite Member,80599,Ballona Dyke,78635,"Member, phase",Reserved,Widgiemooltha Dolerite,80598,,,Paleoproterozoic,2400,,inferred,Paleoproterozoic,2420,,inferred,,,,,,"Wingate, M.T.D. (GSWA)",3-Jul-18,,,"Bardoc 1:100k map sheet 3137. Dolerite and gabbro; includes cumulate and granophyric differentiates. Part of the Widgiemooltha Large Igneous Province. Intrudes Archean greenstone and granitic units of the Yilgarn Craton. See also GSWA ENS:Wingate, MTD (partial report), Ballona Dolerite Member (P_-_wb-o): Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract, viewed 09 August 2018, <www.dmp.wa.gov.au/ens>.",Dolerite and gabbro; includes cumulate and granophyric differentiates.,igneous mafic intrusive,,,Y,
Ballythanna Sandstone Member,30078,,,"Member, phase",Formal,Callytharra Formation,26448,,,Early Permian,,,,Early Permian,,,,,233,WA,23726,,Mory A.,12-Feb-96,,,"Type section: Ballythanna 1, 65-298m, Byro Sub-basin. Lat 26deg03'42"", Long 115deg40' 11"" E.","Fine- to medium-grained sandstone, minor carbonaceous siltstone, locally bioturbated.",sedimentary siliciclastic,,,N,
Balpe Lakes Monzogranite,75361,,,"Formation, beds",Formal,,,,,Neoarchean,,,,Neoarchean,2643,8,"isotopic, U/Pb-Pb/Pb ion probe",,,,66113,,"Hall, C. (GSWA)",9-Jul-09,,,"Monzogranite with a pinkish colouration. Fine-medium grained equigranular quartz-feldspar-biotite-muscovite granite with a spaced cleavage and mineral lineation trending approximatley 154 plunging 50. Fifteen analyses yield a weighted mean 207Pb*/206Pb* date of 2643 ± 8 Ma (MSWD = 2.13), interpreted as the age of magmatic crystallization of the monzogranite. To be published in Geological Survey of Western Australia publications, particularly digital and paper LIGHTFOOT 1:100,000 geological map.",Monzogranite with a pinkish colouration. Fine-medium grained equigranular quartz-feldspar-biotite-muscovite granite with a spaced cleavage and mineral lineation trending approximately 154 plunging 50.,igneous felsic-intermediate intrusive,,,Y,
